,ticker,name,industry,sub-industry,date_added,cik,found_year
0,MMM,3M,Industrials,Industrial Conglomerates,1976-08-09,66740,1902
1,AOS,A. O. Smith,Industrials,Building Products,2017-07-26,91142,1916
2,ABT,Abbott,Health Care,Health Care Equipment,1964-03-31,1800,1888
3,ABBV,AbbVie,Health Care,Pharmaceuticals,2012-12-31,1551152,2013 (1888)
4,ABMD,Abiomed,Health Care,Health Care Equipment,2018-05-31,815094,1981
5,ACN,Accenture,Information Technology,IT Consulting & Other Services,2011-07-06,1467373,1989
6,ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,2015-08-31,718877,2008
7,ADM,ADM,Consumer Staples,Agricultural Products,1981-07-29,7084,1902
8,ADBE,Adobe Inc.,Information Technology,Application Software,1997-05-05,796343,1982
9,ADP,ADP,Information Technology,Data Processing & Outsourced Services,1981-03-31,8670,1949
10,AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2015-07-09,1158449,1932
11,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,1998-10-02,874761,1981
12,AFL,Aflac,Financials,Life & Health Insurance,1999-05-28,4977,1955
13,A,Agilent Technologies,Health Care,Health Care Equipment,2000-06-05,1090872,1999
14,APD,Air Products and Chemicals,Materials,Industrial Gases,1985-04-30,2969,1940
15,AKAM,Akamai,Information Technology,Internet Services & Infrastructure,2007-07-12,1086222,1998
16,ALK,Alaska Air Group,Industrials,Airlines,2016-05-13,766421,1985
17,ALB,Albemarle Corporation,Materials,Specialty Chemicals,2016-07-01,915913,1994
18,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,2017-03-20,1035443,1994
19,ALGN,Align Technology,Health Care,Health Care Supplies,2017-06-19,1097149,1997
20,ALLE,Allegion,Industrials,Building Products,2013-12-02,1579241,1908
21,LNT,Alliant Energy,Utilities,Electric Utilities,2016-07-01,352541,1917
22,ALL,Allstate,Financials,Property & Casualty Insurance,1995-07-13,899051,1931
23,GOOGL,Alphabet Inc. (Class A),Communication Services,Interactive Media & Services,2014-04-03,1652044,1998
24,GOOG,Alphabet Inc. (Class C),Communication Services,Interactive Media & Services,2006-04-03,1652044,1998
25,MO,Altria,Consumer Staples,Tobacco,1957-03-04,764180,1985
26,AMZN,Amazon,Consumer Discretionary,Internet & Direct Marketing Retail,2005-11-18,1018724,1994
27,AMCR,Amcor,Materials,Paper Packaging,2019-06-07,1748790,2019 (1860)
28,AMD,AMD,Information Technology,Semiconductors,,2488,1969
29,AEE,Ameren,Utilities,Multi-Utilities,1991-09-19,1002910,1902
30,AAL,American Airlines Group,Industrials,Airlines,2015-03-23,6201,1934
31,AEP,American Electric Power,Utilities,Electric Utilities,1957-03-04,4904,1906
32,AXP,American Express,Financials,Consumer Finance,1976-06-30,4962,1850
33,AIG,American International Group,Financials,Property & Casualty Insurance,1980-03-31,5272,1919
34,AMT,American Tower,Real Estate,Specialized REITs,2007-11-19,1053507,1995
35,AWK,American Water Works,Utilities,Water Utilities,2016-03-04,1410636,1886
36,AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,2005-10-03,820027,1894
37,ABC,AmerisourceBergen,Health Care,Health Care Distributors,2001-08-30,1140859,1985
38,AME,Ametek,Industrials,Electrical Components & Equipment,2013-09-23,1037868,1930
39,AMGN,Amgen,Health Care,Biotechnology,1992-01-02,318154,1980
40,APH,Amphenol,Information Technology,Electronic Components,2008-09-30,820313,1932
41,ADI,Analog Devices,Information Technology,Semiconductors,1999-10-12,6281,1965
42,ANSS,Ansys,Information Technology,Application Software,2017-06-19,1013462,1969
43,AON,Aon,Financials,Insurance Brokers,1996-04-23,315293,1982 (1919)
44,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1997-07-28,6769,1954
45,AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1982-11-30,320193,1977
46,AMAT,Applied Materials,Information Technology,Semiconductor Equipment,1995-03-16,6951,1967
47,APTV,Aptiv,Consumer Discretionary,Auto Parts & Equipment,2012-12-24,1521332,1994
48,ANET,Arista Networks,Information Technology,Communications Equipment,2018-08-28,1596532,2004
49,AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,2016-05-31,354190,1927
50,AIZ,Assurant,Financials,Multi-line Insurance,2007-04-10,1267238,1892
51,T,AT&T,Communication Services,Integrated Telecommunication Services,1983-11-30 (1957-03-04),732717,1983 (1885)
52,ATO,Atmos Energy,Utilities,Gas Utilities,2019-02-15,731802,1906
53,ADSK,Autodesk,Information Technology,Application Software,1989-12-01,769397,1982
54,AZO,AutoZone,Consumer Discretionary,Specialty Stores,1997-01-02,866787,1979
55,AVB,AvalonBay Communities,Real Estate,Residential REITs,2007-01-10,915912,1978
56,AVY,Avery Dennison,Materials,Paper Packaging,1987-12-31,8818,1990
57,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,2017-07-07,1701605,2017
58,BALL,Ball Corporation,Materials,Metal & Glass Containers,1984-10-31,9389,1880
59,BAC,Bank of America,Financials,Diversified Banks,1976-06-30,70858,1998 (1923 / 1874)
60,BBWI,"Bath & Body Works, Inc.",Consumer Discretionary,Specialty Stores,1983-09-30,701985,1963
61,BAX,Baxter International,Health Care,Health Care Equipment,1972-09-30,10456,1931
62,BDX,Becton Dickinson,Health Care,Health Care Equipment,1972-09-30,10795,1897
63,WRB,Berkley,Financials,Property & Casualty Insurance,2019-12-05,11544,1967
64,BRK.B,Berkshire Hathaway,Financials,Multi-Sector Holdings,2010-02-16,1067983,1839
65,BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,1999-06-29,764478,1966
66,BIO,Bio-Rad,Health Care,Life Sciences Tools & Services,2020-06-22,12208,1952
67,TECH,Bio-Techne,Health Care,Life Sciences Tools & Services,2021-08-30,842023,1976
68,BIIB,Biogen,Health Care,Biotechnology,2003-11-13,875045,1978
69,BLK,BlackRock,Financials,Asset Management & Custody Banks,2011-04-04,1364742,1988
70,BK,BNY Mellon,Financials,Asset Management & Custody Banks,1995-03-31,1390777,1784
71,BA,Boeing,Industrials,Aerospace & Defense,1957-03-04,12927,1916
72,BKNG,Booking Holdings,Consumer Discretionary,Internet & Direct Marketing Retail,2009-11-06,1075531,1996
73,BWA,BorgWarner,Consumer Discretionary,Auto Parts & Equipment,2011-12-19,908255,1880
74,BXP,Boston Properties,Real Estate,Office REITs,2006-04-03,1037540,1970
75,BSX,Boston Scientific,Health Care,Health Care Equipment,1995-02-24,885725,1979
76,BMY,Bristol Myers Squibb,Health Care,Health Care Distributors,1957-03-04,14272,1989
77,AVGO,Broadcom Inc.,Information Technology,Semiconductors,2014-05-08,1730168,1961
78,BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services,2018-06-18,1383312,1962
79,BRO,Brown & Brown,Financials,Insurance Brokers,2021-09-20,79282,1939
80,BF.B,Brown–Forman,Consumer Staples,Distillers & Vintners,1982-10-31,14693,1870
81,CHRW,C.H. Robinson,Industrials,Air Freight & Logistics,2007-03-02,1043277,1905
82,CDNS,Cadence Design Systems,Information Technology,Application Software,2017-09-18,813672,1988
83,CZR,Caesars Entertainment,Consumer Discretionary,Casinos & Gaming,2021-03-22,1590895,1973
84,CPT,Camden Property Trust,Real Estate,Residential REITs,2022-04-04,906345,1981
85,CPB,Campbell Soup Company,Consumer Staples,Packaged Foods & Meats,1957-03-04,16732,1869
86,COF,Capital One,Financials,Consumer Finance,1998-07-01,927628,1994
87,CAH,Cardinal Health,Health Care,Health Care Distributors,1997-05-27,721371,1971
88,KMX,CarMax,Consumer Discretionary,Specialty Stores,2010-06-28,1170010,1993
89,CCL,Carnival,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1998-12-22,815097,1972
90,CARR,Carrier Global,Industrials,Building Products,2020-04-03,1783180,2020 (1915)
91,CTLT,Catalent,Health Care,Pharmaceuticals,2020-09-21,1596783,2007
92,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Trucks,1957-03-04,18230,1925
93,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,2017-03-01,1374310,1973
94,CBRE,CBRE Group,Real Estate,Real Estate Services,2006-11-10,1138118,1906
95,CDW,CDW,Information Technology,Technology Distributors,2019-09-23,1402057,1984
96,CE,Celanese,Materials,Specialty Chemicals,2018-12-24,1306830,1918
97,CNC,Centene Corporation,Health Care,Managed Health Care,2016-03-30,1071739,1984
98,CNP,CenterPoint Energy,Utilities,Multi-Utilities,1985-07-31,1130310,1882
99,CDAY,Ceridian,Information Technology,Application Software,2021-09-20,1725057,1992
100,CF,CF Industries,Materials,Fertilizers & Agricultural Chemicals,2008-08-27,1324404,1946
101,CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services,2021-05-14,1100682,1947
102,SCHW,Charles Schwab Corporation,Financials,Investment Banking & Brokerage,1997-06-02,316709,1971
103,CHTR,Charter Communications,Communication Services,Cable & Satellite,2016-09-08,1091667,1993
104,CVX,Chevron Corporation,Energy,Integrated Oil & Gas,1957-03-04,93410,1879
105,CMG,Chipotle Mexican Grill,Consumer Discretionary,Restaurants,2011-04-28,1058090,1993
106,CB,Chubb Limited,Financials,Property & Casualty Insurance,2010-07-15,896159,1985
107,CHD,Church & Dwight,Consumer Staples,Household Products,2015-12-29,313927,1847
108,CI,Cigna,Health Care,Managed Health Care,1976-06-30,1739940,1982
109,CINF,Cincinnati Financial,Financials,Property & Casualty Insurance,1997-12-18,20286,1950
110,CTAS,Cintas,Industrials,Diversified Support Services,2001-03-01,723254,1929
111,CSCO,Cisco,Information Technology,Communications Equipment,1993-12-01,858877,1984
112,C,Citigroup,Financials,Diversified Banks,1988-05-31,831001,1998
113,CFG,Citizens Financial Group,Financials,Regional Banks,2016-01-29,759944,1828
114,CTXS,Citrix,Information Technology,Application Software,1999-12-01,877890,1989
115,CLX,Clorox,Consumer Staples,Household Products,1969-03-31,21076,1913
116,CME,CME Group,Financials,Financial Exchanges & Data,2006-08-11,1156375,1848
117,CMS,CMS Energy,Utilities,Multi-Utilities,1999-05-03,811156,1886
118,KO,The Coca-Cola Company,Consumer Staples,Soft Drinks,1957-03-04,21344,1886
119,CTSH,Cognizant,Information Technology,IT Consulting & Other Services,2006-11-17,1058290,1994
120,CL,Colgate-Palmolive,Consumer Staples,Household Products,1957-03-04,21665,1806
121,CMCSA,Comcast,Communication Services,Cable & Satellite,2002-11-19,1166691,1963
122,CMA,Comerica,Financials,Diversified Banks,1995-12-01,28412,1849
123,CAG,Conagra Brands,Consumer Staples,Packaged Foods & Meats,1983-08-31,23217,1919
124,COP,ConocoPhillips,Energy,Oil & Gas Exploration & Production,1957-03-04,1163165,2002
125,ED,Consolidated Edison,Utilities,Electric Utilities,,1047862,1823
126,STZ,Constellation Brands,Consumer Staples,Distillers & Vintners,2005-07-01,16918,1945
127,CEG,Constellation Energy,Utilities,Multi-Utilities,2022-02-02,1868275,1999
128,COO,CooperCompanies,Health Care,Health Care Supplies,2016-09-23,711404,1958
