year,sp500,nasdaq_composite,nasdaq_100,russell_2000
1990,330.22,373.84,200.53,170.54
1991,417.09,586.35,330.86,253.82
1992,435.71,676.95,360.19,259.06
1993,466.45,776.80,398.28,295.96
1994,459.27,751.96,404.27,250.18
1995,615.93,1052.13,576.23,314.90
1996,740.74,1291.03,821.36,362.56
1997,970.43,1570.35,990.83,437.02
1998,1229.23,2192.69,1836.01,421.96
1999,1469.25,4069.31,3707.83,504.75
2000,1320.28,2470.52,2341.70,483.53
2001,1148.08,1950.40,1577.05,488.50
2002,879.82,1335.51,984.37,383.09
2003,1111.92,2003.37,1467.92,556.91
2004,1211.92,2175.44,1621.12,651.57
2005,1248.29,2205.32,1645.20,673.22
2006,1418.30,2415.29,1756.90,787.66
2007,1468.36,2652.28,2084.93,766.03
2008,903.25,1577.03,1211.65,499.45
2009,1115.10,2269.15,1860.31,625.39
2010,1257.64,2652.87,2217.86,783.65
2011,1257.61,2605.15,2277.83,740.92
2012,1426.19,3019.51,2660.93,849.35
2013,1848.36,4176.59,3592.00,1163.64
2014,2058.90,4736.05,4236.28,1204.70
2015,2043.94,5007.41,4593.27,1135.89
2016,2238.83,5383.12,4863.62,1357.13
2017,2673.61,6903.39,6396.42,1535.51
2018,2506.85,6635.28,6329.97,1348.56
2019,3230.78,8972.60,8733.07,1668.47
2020,3756.07,12888.28,12888.28,1974.86
2021,4766.18,15644.97,16320.08,2245.31
2022,3839.50,10939.99,10939.76,1761.25
2023,4769.83,16825.93,16825.93,2027.07
2024,5881.63,19310.79,21012.17,2230.17
2025,5611.85,19161.63,25249.85,2114.98
